zAxisPos,xAxisPos,AgentID,collisions,topSpeed(mph),currentSpeed(mph),distanceOfTravel(meters),raycastLength,tractionControl,VelocityMagnitude(BETA),VehicleMass,Downforce
-193.7659,189.761,-911486,1,39.0,19.620060000000002,960.6643,5,0,8.7707,3966,5.0328349999999995
-193.0431,-107.9206,-842582,1,20.0,9.790544,1136.234,8,0,4.37664,2221,9.645562
-192.7184,62.43776999999999,-643476,0,36.0,18.853820000000002,1282.879,6,0,8.428169,6660,4.319136
-188.8752,-106.3908,-637756,1,20.0,10.0,796.6787,3,0,4.564794,3576,6.807281
-184.8363,166.63,-673722,3,20.0,10.0,550.1584,4,0,4.576569,3373,4.869832
-180.6264,-15.330689999999999,-639692,0,10.0,5.0,831.3211,5,0,2.3057119999999998,6665,7.848414999999999
-180.4974,105.0766,-838886,1,20.0,10.0,1081.911,8,0,4.5204379999999995,2122,4.190197
-179.9274,44.71379,-913246,2,36.0,18.0,956.0584,7,0,8.088675,4716,4.072546
-175.5353,-103.2445,-844166,8,41.0,20.35932,1735.226,3,0,9.101172,5872,9.285295
-168.7269,-106.2032,-846102,4,31.0,15.5,1680.213,1,0,6.966383,6787,8.933539999999999
-166.3454,235.4376,-910870,0,20.0,10.0,607.5812,8,0,4.5719970000000005,3091,2.0693080000000004
-165.8591,221.424,-844430,3,30.0,16.63366,1453.41,2,0,7.435701,2955,1.2537530000000001
-165.7917,-39.571690000000004,-839678,0,20.0,9.999998,1096.205,7,0,4.520348,6701,0.24503490000000003
-165.5265,-21.57096,-840998,0,20.0,10.0,1086.66,3,0,4.521355000000001,3576,6.807281
-164.9836,38.85457,-677154,1,37.0,11.26609,1040.076,4,0,5.036251,1006,2.722359
-164.8733,-278.0709,-677242,2,44.0,21.79509,1084.681,6,0,9.743,2786,0.46584269999999994
-164.0676,-138.3354,-674338,1,35.0,14.39427,864.7974,2,0,6.434629,1752,0.10104450000000001
-163.9474,-318.5021,-912454,3,42.0,10.54849,606.6328,9,0,4.715461,163,9.391259
-163.6468,184.9536,-840822,2,20.0,10.0,1119.0439999999999,7,0,4.57161,1497,5.038979
-163.2173,26.520159999999997,-707914,5,43.0,17.01489,1493.651,9,0,7.606121000000001,484,4.652298
-162.9945,43.59219,-711082,10,44.0,19.34536,1200.587,6,0,8.647905,2786,0.46584269999999994
-162.9696,-76.164,-677506,2,40.0,15.71085,1002.288,8,0,7.023178,1396,8.40135
-161.2361,286.7366,-704922,1,20.0,10.0,1338.455,8,0,6.744182,4047,1.131522
-159.5451,165.88299999999998,-907614,0,20.0,10.0,566.1758,2,0,4.518059,7028,0.23825239999999998
-153.7372,-15.51699,-708530,7,33.0,16.73736,1713.38,3,0,7.482054,7430,2.6840029999999997
-153.5626,76.87078000000001,-643212,3,37.0,16.03691,1251.861,4,0,7.168937,1006,2.722359
-152.8633,165.1162,-675130,0,30.0,15.0,869.4728,2,0,6.801888000000001,2955,1.2537530000000001
-151.4,-14.7311,-839414,3,20.0,10.0,929.9584,4,0,4.521276,4703,9.241696000000001
