zAxisPos,xAxisPos,AgentID,collisions,topSpeed(mph),currentSpeed(mph),distanceOfTravel(meters),raycastLength,tractionControl,VelocityMagnitude(BETA),VehicleMass,Downforce,,50_60 AVG VELOCITY
-71.20918,-313.8737,-265352,1,42,17.12441,1689.3,7,0,7.655077,3437,6.234212,,
-70.99716,16.54145,-235846,4,42,13.98983,1581.399,4,0,6.253837,3483,8.860469,,
-64.27911,255.0575,-176058,3,33,16.5,1356.74,6,0,7.420737,2138,5.405807,,
-46.75052,-158.6488,-205288,0,42,21,1644.936,7,0,9.433588,1497,5.038979,,
-46.4254,-156.2673,-233910,2,20,10,888.9393,2,0,4.521712,1147,5.214017,,
-46.03177,172.2,-261216,1,30,13.46674,1124.612,4,0,6.02,2268,6.336945,,
-45.45189,181.9215,-174738,0,30,15,853.4073,4,0,6.74578,1118,5.458315,,
-42.83991,-135.2087,-265528,1,40,15.37866,1742.214,7,0,6.87468,981,4.894718,,
-28.046,-74.80076,-233734,0,20,10,985.5853,5,0,4.520046,937,8.544026,,
-22.96698,-136.3492,-204320,1,20,12.12112,1029.987,2,0,5.418472,7028,0.2382524,,
-18.61825,342.6249,-233470,1,20,10,958.5114,5,0,4.546659,3172,6.888597,,
-16.65158,-43.31395,-173946,3,20,9.999998,599.0598,4,0,4.583224,7020,0.9956384,,
-16.51612,-53.81807,-204232,0,20,10.12554,1069.621,5,0,4.526393,3172,6.888597,,
-16.43562,266.5205,-203352,1,10,10,1187.588,8,0,4.521373,2122,4.190197,,
-15.35139,147.687,-291684,1,10,4.999999,1079.86,4,0,2.301331,4703,9.241696,,
-14.84714,165.6927,-265000,6,35,12.41861,1067.949,2,0,5.551459,139,6.837638,,
-13.35084,-320.3789,-234438,0,43,21.31462,1414.163,5,0,9.528214,3030,0.3790552,,
-12.5554,-211.5276,-293092,0,42,19.72006,1860.001,7,0,8.815406,1497,5.038979,,
-11.6954,-75.33247,-290804,5,20,0,1208.518,8,0,0.1263076,7102,2.801346,,
-10.88062,-314.0145,-177554,0,40,20,1493.17,7,0,8.946405,981,4.894718,,
